account_id,month,target_rows,distinct_campaigns,latest_target_date,latest_campaign,latest_channel,borrower_id,loan_type,principal_amount,outstanding_amount,dpd,risk_segment,status,timezone,clean_recovery,payment_events,recovered_flag
ACC0000001,2026-02,1,1,2026-02-11,CMP0000062,WHATSAPP,BRW0010742,CONSUMER,603443.4,678074.03,15,MEDIUM,CLOSED,Asia/Dubai,0.0,0,0
ACC0000001,2026-03,1,1,2026-03-12,CMP0000046,FIELD,BRW0010742,CONSUMER,603443.4,678074.03,15,MEDIUM,CLOSED,Asia/Dubai,0.0,0,0
ACC0000001,2026-06,1,1,2026-06-11,CMP0000046,FIELD,BRW0010742,CONSUMER,603443.4,678074.03,15,MEDIUM,CLOSED,Asia/Dubai,0.0,0,0
ACC0000002,2026-01,1,1,2026-01-12,CMP0000060,SMS,BRW0009382,BNPL,277190.14,464893.44,5,LOW,ACTIVE,UTC,0.0,0,0
ACC0000002,2026-03,1,1,2026-03-19,CMP0000001,WHATSAPP,BRW0009382,BNPL,277190.14,464893.44,5,LOW,ACTIVE,UTC,0.0,0,0
ACC0000002,2026-06,1,1,2026-06-23,CMP0000012,FIELD,BRW0009382,BNPL,277190.14,464893.44,5,LOW,ACTIVE,UTC,0.0,0,0
ACC0000003,2026-06,1,1,2026-06-09,CMP0000022,VOICE,BRW0003966,CREDIT_CARD,628658.43,22565.37,60,NPA,WRITEOFF,Asia/Dubai,47415.92,1,1
ACC0000004,2026-02,1,1,2026-02-28,CMP0000101,SMS,BRW0001993,PERSONAL,76435.07,508427.73,30,LOW,CLOSED,UTC,0.0,0,0
ACC0000006,2026-05,1,1,2026-05-03,CMP0000118,FIELD,,BNPL,502458.93,326675.14,45,MEDIUM,CLOSED,Asia/Kolkata,0.0,0,0
ACC0000007,2026-02,2,2,2026-02-17,CMP0000080,VOICE,BRW0000727,BNPL,264110.65,438792.97,45,MEDIUM,CLOSED,Asia/Kolkata,0.0,0,0
ACC0000007,2026-03,1,1,2026-03-14,CMP0000065,SMS,BRW0000727,BNPL,264110.65,438792.97,45,MEDIUM,CLOSED,Asia/Kolkata,0.0,0,0
ACC0000008,2026-07,1,1,2026-07-13,CMP0000021,FIELD,BRW0011565,PERSONAL,25601.77,413180.65,1,MEDIUM,WRITEOFF,UTC,0.0,0,0
ACC0000009,2026-04,1,1,2026-04-23,CMP0000098,WHATSAPP,BRW0009929,AUTO,468473.94,546432.13,0,NPA,PAID,UTC,0.0,0,0
ACC0000010,2026-03,1,1,2026-03-02,CMP0000097,SMS,BRW0010210,CREDIT_CARD,503912.27,480229.21,120,NPA,ACTIVE,Asia/Dubai,0.0,0,0
ACC0000010,2026-06,3,3,2026-06-21,CMP0000024,WHATSAPP,BRW0010210,CREDIT_CARD,503912.27,480229.21,120,NPA,ACTIVE,Asia/Dubai,113781.45,1,1
ACC0000013,2026-01,1,1,2026-01-12,CMP0000078,SMS,BRW0011628,BNPL,775832.27,563492.59,1,MEDIUM,CLOSED,Asia/Dubai,0.0,0,0
ACC0000013,2026-04,2,2,2026-04-28,CMP0000053,FIELD,BRW0011628,BNPL,775832.27,563492.59,1,MEDIUM,CLOSED,Asia/Dubai,0.0,0,0
ACC0000014,2026-02,1,1,2026-02-27,CMP0000110,SMS,BRW0000483,BNPL,663562.94,309754.88,60,MEDIUM,WRITEOFF,UTC,0.0,0,0
